index,date,venue,num_visitors
25,6/14/2013,Africa,269
25,6/14/2013,Asia,979
25,6/14/2013,Australia,940
25,6/14/2013,Antarctica,9
26,6/15/2013,North America,1538
26,6/15/2013,Europe,1660
26,6/15/2013,South America,696
26,6/15/2013,Africa,292
26,6/15/2013,Asia,981
26,6/15/2013,Australia,989
26,6/15/2013,Antarctica,6
27,6/16/2013,North America,1439
27,6/16/2013,Europe,1700
27,6/16/2013,South America,596
27,6/16/2013,Africa,229
27,6/16/2013,Asia,622
27,6/16/2013,Australia,585
27,6/16/2013,Antarctica,1
28,6/17/2013,North America,1604
28,6/17/2013,Europe,1747
28,6/17/2013,South America,538
28,6/17/2013,Africa,302
28,6/17/2013,Asia,823
28,6/17/2013,Australia,772
28,6/17/2013,Antarctica,4
29,6/18/2013,North America,1060
29,6/18/2013,Europe,1541
29,6/18/2013,South America,705
29,6/18/2013,Africa,402
29,6/18/2013,Asia,923
29,6/18/2013,Australia,710
29,6/18/2013,Antarctica,9
30,6/19/2013,North America,1055
30,6/19/2013,Europe,1810
30,6/19/2013,South America,962
30,6/19/2013,Africa,450
30,6/19/2013,Asia,774
30,6/19/2013,Australia,609
30,6/19/2013,Antarctica,9
31,6/20/2013,North America,1996
31,6/20/2013,Europe,1795
31,6/20/2013,South America,927
31,6/20/2013,Africa,237
31,6/20/2013,Asia,904
31,6/20/2013,Australia,668
31,6/20/2013,Antarctica,0
32,6/21/2013,North America,1562
32,6/21/2013,Europe,1638
32,6/21/2013,South America,915
32,6/21/2013,Africa,395
32,6/21/2013,Asia,932
32,6/21/2013,Australia,755
32,6/21/2013,Antarctica,0
33,6/22/2013,North America,1908
33,6/22/2013,Europe,1803
33,6/22/2013,South America,922
33,6/22/2013,Africa,355
33,6/22/2013,Asia,909
33,6/22/2013,Australia,521
33,6/22/2013,Antarctica,2
34,6/23/2013,North America,1865
34,6/23/2013,Europe,1633
34,6/23/2013,South America,953
34,6/23/2013,Africa,322
34,6/23/2013,Asia,541
34,6/23/2013,Australia,718
34,6/23/2013,Antarctica,10
35,6/24/2013,North America,1763
35,6/24/2013,Europe,1507
35,6/24/2013,South America,656
35,6/24/2013,Africa,339
35,6/24/2013,Asia,802
35,6/24/2013,Australia,896
35,6/24/2013,Antarctica,1
36,6/25/2013,North America,1789
36,6/25/2013,Europe,1504
36,6/25/2013,South America,881
36,6/25/2013,Africa,363
36,6/25/2013,Asia,968
36,6/25/2013,Australia,996
36,6/25/2013,Antarctica,2
37,6/26/2013,North America,1458
37,6/26/2013,Europe,1593
37,6/26/2013,South America,765
37,6/26/2013,Africa,473
37,6/26/2013,Asia,961
37,6/26/2013,Australia,959
37,6/26/2013,Antarctica,8
38,6/27/2013,North America,1994
38,6/27/2013,Europe,1589
38,6/27/2013,South America,743
38,6/27/2013,Africa,248
38,6/27/2013,Asia,884
38,6/27/2013,Australia,802
38,6/27/2013,Antarctica,8
39,6/28/2013,North America,1876
39,6/28/2013,Europe,1530
39,6/28/2013,South America,779
39,6/28/2013,Africa,399
39,6/28/2013,Asia,859
39,6/28/2013,Australia,550
39,6/28/2013,Antarctica,10
40,6/29/2013,North America,1922
40,6/29/2013,Europe,1583
40,6/29/2013,South America,833
40,6/29/2013,Africa,489
40,6/29/2013,Asia,906
40,6/29/2013,Australia,690
40,6/29/2013,Antarctica,10
41,6/30/2013,North America,1884
41,6/30/2013,Europe,1879
41,6/30/2013,South America,849
41,6/30/2013,Africa,244
41,6/30/2013,Asia,727
41,6/30/2013,Australia,894
41,6/30/2013,Antarctica,9
42,7/1/2013,North America,1174
42,7/1/2013,Europe,1721
42,7/1/2013,South America,908
42,7/1/2013,Africa,393
42,7/1/2013,Asia,931
42,7/1/2013,Australia,587
42,7/1/2013,Antarctica,6
43,7/2/2013,North America,1623
43,7/2/2013,Europe,1792
43,7/2/2013,South America,823
43,7/2/2013,Africa,443
43,7/2/2013,Asia,921
43,7/2/2013,Australia,667
43,7/2/2013,Antarctica,5
44,7/3/2013,North America,1823
44,7/3/2013,Europe,1546
44,7/3/2013,South America,929
44,7/3/2013,Africa,323
44,7/3/2013,Asia,594
44,7/3/2013,Australia,858
44,7/3/2013,Antarctica,6
45,7/4/2013,North America,1489
45,7/4/2013,Europe,1678
45,7/4/2013,South America,744
45,7/4/2013,Africa,351
45,7/4/2013,Asia,743
45,7/4/2013,Australia,842
45,7/4/2013,Antarctica,5
46,7/5/2013,North America,1308
46,7/5/2013,Europe,1904
46,7/5/2013,South America,957
46,7/5/2013,Africa,402
46,7/5/2013,Asia,666
46,7/5/2013,Australia,562
46,7/5/2013,Antarctica,6
47,7/6/2013,North America,1931
47,7/6/2013,Europe,1965
47,7/6/2013,South America,706
47,7/6/2013,Africa,488
47,7/6/2013,Asia,946
47,7/6/2013,Australia,516
47,7/6/2013,Antarctica,6
48,7/7/2013,North America,1428
48,7/7/2013,Europe,1548
48,7/7/2013,South America,771
48,7/7/2013,Africa,403
48,7/7/2013,Asia,701
48,7/7/2013,Australia,937
48,7/7/2013,Antarctica,5
49,7/8/2013,North America,1081
49,7/8/2013,Europe,1909
49,7/8/2013,South America,547
49,7/8/2013,Africa,366
49,7/8/2013,Asia,575
49,7/8/2013,Australia,592
49,7/8/2013,Antarctica,7
50,7/9/2013,North America,1185
50,7/9/2013,Europe,1613
50,7/9/2013,South America,639
50,7/9/2013,Africa,415
50,7/9/2013,Asia,633
50,7/9/2013,Australia,808
50,7/9/2013,Antarctica,5
51,7/10/2013,North America,1843
51,7/10/2013,Europe,1820
51,7/10/2013,South America,754
51,7/10/2013,Africa,448
51,7/10/2013,Asia,675
51,7/10/2013,Australia,893
51,7/10/2013,Antarctica,0
52,7/11/2013,North America,1546
52,7/11/2013,Europe,1709
52,7/11/2013,South America,942
52,7/11/2013,Africa,322
52,7/11/2013,Asia,509
52,7/11/2013,Australia,789
52,7/11/2013,Antarctica,8
53,7/12/2013,North America,1153
53,7/12/2013,Europe,1995
53,7/12/2013,South America,571
53,7/12/2013,Africa,337
53,7/12/2013,Asia,533
53,7/12/2013,Australia,697
53,7/12/2013,Antarctica,0
54,7/13/2013,North America,1152
54,7/13/2013,Europe,1843
54,7/13/2013,South America,725
54,7/13/2013,Africa,487
54,7/13/2013,Asia,629
54,7/13/2013,Australia,504
54,7/13/2013,Antarctica,9
55,7/14/2013,North America,1616
55,7/14/2013,Europe,1972
55,7/14/2013,South America,752
55,7/14/2013,Africa,213
55,7/14/2013,Asia,910
55,7/14/2013,Australia,800
55,7/14/2013,Antarctica,2
56,7/15/2013,North America,1062
56,7/15/2013,Europe,1510
56,7/15/2013,South America,691
56,7/15/2013,Africa,437
56,7/15/2013,Asia,502
56,7/15/2013,Australia,709
56,7/15/2013,Antarctica,4
57,7/16/2013,North America,1041
57,7/16/2013,Europe,1929
57,7/16/2013,South America,522
57,7/16/2013,Africa,206
57,7/16/2013,Asia,597
57,7/16/2013,Australia,631
57,7/16/2013,Antarctica,10
58,7/17/2013,North America,1960
58,7/17/2013,Europe,1946
58,7/17/2013,South America,912
58,7/17/2013,Africa,255
58,7/17/2013,Asia,651
58,7/17/2013,Australia,750
58,7/17/2013,Antarctica,10
59,7/18/2013,North America,1429
59,7/18/2013,Europe,1569
59,7/18/2013,South America,639
59,7/18/2013,Africa,205
59,7/18/2013,Asia,581
59,7/18/2013,Australia,565
59,7/18/2013,Antarctica,10
